feature,importance
weather_advantage,0.2404646440033142
quali_best_time,0.13472637333068782
LapTimeSeconds,0.1299582461526987
quali_rank,0.08956139571945831
round,0.07861688812032235
race_position_y,0.06660491929383046
race_position_x,0.06354041789411126
pred_quali_time_gbm,0.031482355139794194
pred_quali_time_baseline,0.029430688997119855
predicted_grid_position,0.023119654300491645
grid_position_advantage,0.02175385831431449
pred_quali_rank_baseline,0.02025690810630052
pred_quali_rank_gbm,0.017167576387848195
pred_pole_prob_baseline,0.009635897919763148
pred_pole_prob_gbm,0.008949001779634773
race_distance_laps,0.005987302591910454
safety_car_prob_track,0.0057966870941412564
optimal_pit_window_start,0.005256763313985855
optimal_pit_window_end,0.004576884463288383
is_pole_x,0.004565617040133701
is_pole_y,0.003661457421501271
is_race_winner_y,0.002731958528610487
is_race_winner_x,0.002154504086738618
team_reliability,0.0
driver_overtake_skill,0.0
team_driver_synergy,0.0
season,0.0
driver_track_affinity_wet,0.0
track_pole_win_rate,0.0
driver_track_win_rate,0.0
driver_track_avg_position,0.0
team_dnf_rate_10,0.0
team_recent_position_mean_5,0.0
team_season_avg_quali,0.0
driver_recent_position_mean_5,0.0
driver_career_avg_position,0.0
driver_career_avg_quali,0.0
driver_dnf_rate_10,0.0
driver_recent_quali_std_3,0.0
driver_recent_quali_mean_3,0.0
is_wet,0.0
driver_track_avg_quali,0.0
