feature,importance
quali_best_time,0.1623110920903364
weather_advantage,0.1571440146709526
simulator_win_prob,0.1402765956277667
LapTimeSeconds,0.13739009150930045
quali_rank,0.12607883678496964
race_position_y,0.08343840557721581
race_position_x,0.08211368477482223
round,0.07668813780229859
is_pole_x,0.008288350603930187
is_pole_y,0.006127828314893985
safety_car_prob_track,0.005077081884786031
race_distance_laps,0.003917570681213421
optimal_pit_window_start,0.003430518672836954
is_race_winner_y,0.0027746169138015303
is_race_winner_x,0.0026396878000046115
optimal_pit_window_end,0.002303486290870966
pred_quali_time_gbm,0.0
grid_position_advantage,0.0
driver_overtake_skill,0.0
team_reliability,0.0
predicted_grid_position,0.0
pred_quali_rank_baseline,0.0
pred_pole_prob_baseline,0.0
pred_quali_time_baseline,0.0
pred_pole_prob_gbm,0.0
pred_quali_rank_gbm,0.0
season,0.0
team_driver_synergy,0.0
driver_track_affinity_wet,0.0
track_pole_win_rate,0.0
driver_track_win_rate,0.0
driver_track_avg_position,0.0
team_dnf_rate_10,0.0
team_recent_position_mean_5,0.0
team_season_avg_quali,0.0
driver_recent_position_mean_5,0.0
driver_career_avg_position,0.0
driver_career_avg_quali,0.0
driver_dnf_rate_10,0.0
driver_recent_quali_std_3,0.0
driver_recent_quali_mean_3,0.0
is_wet,0.0
driver_track_avg_quali,0.0
