feature,importance
weather_advantage,0.2834427248067947
quali_best_time,0.14115585548964757
LapTimeSeconds,0.13195018513187992
quali_rank,0.0963504938418727
round,0.08111441225765255
race_position_x,0.07012703179362904
race_position_y,0.06921995076536537
pred_quali_time_baseline,0.018904608580929443
pred_quali_time_gbm,0.0182027374335294
grid_position_advantage,0.011236270163460127
pred_pole_prob_gbm,0.01051188388747727
pred_quali_rank_gbm,0.010387880121411024
pred_quali_rank_baseline,0.01007586810379737
predicted_grid_position,0.009156486589357277
pred_pole_prob_baseline,0.007024788593826946
optimal_pit_window_start,0.0066669692463236715
is_pole_y,0.005537062751345852
is_pole_x,0.004443022215502937
safety_car_prob_track,0.003878123165841872
is_race_winner_x,0.003488237737657927
optimal_pit_window_end,0.002845556720392242
race_distance_laps,0.0027969369905394338
is_race_winner_y,0.0014829136117655187
team_reliability,0.0
driver_overtake_skill,0.0
team_driver_synergy,0.0
season,0.0
driver_track_affinity_wet,0.0
track_pole_win_rate,0.0
driver_track_win_rate,0.0
driver_track_avg_position,0.0
team_dnf_rate_10,0.0
team_recent_position_mean_5,0.0
team_season_avg_quali,0.0
driver_recent_position_mean_5,0.0
driver_career_avg_position,0.0
driver_career_avg_quali,0.0
driver_dnf_rate_10,0.0
driver_recent_quali_std_3,0.0
driver_recent_quali_mean_3,0.0
is_wet,0.0
driver_track_avg_quali,0.0
